phecode	phenotype	category	num_cases	num_controls	N	K	b_ivw	se_ivw	pval_ivw	robust_hit	mdor80_nominal	mdor80_bonf	power_or1p5_nominal	power_or2_nominal	power_or2_bonf
E4_HYPOPIT	Hypopituitarism	IV Endocrine, nutritional and metabolic diseases (E4_)	2665	479069	481734	0.00553209862704314	-0.00322888738540263	0.251000042002163	0.989736223473371	FALSE	1.87452798416644	3.07064897241113	0.439612082678611	0.870866271628295	0.142318184485102
INV_VENT	Invasive ventilation	Comorbidities of COPD	2664	493611	496275	0.00536799153695028	0.561343357594281	0.244914444622999	0.0219057726417583	FALSE	1.87465184722078	3.07101124442281	0.43953718867718	0.870797837022669	0.142245062717161
H7_CONJUHAEMOR	conjunctival haemorrhage	VII Diseases of the eye and adnexa (H7_)	2664	454779	457443	0.00582367639246857	0.112478286469236	0.228445842674521	0.622462732135969	FALSE	1.87492182334964	3.07180092997776	0.439374026536519	0.870648653101582	0.142085842064832
K11_MN_RETRGN	Mandibular retrognathia	XI Diseases of the digestive system (K11_)	2659	497689	500348	0.00531430124633255	0.0875149229487345	0.413250647494684	0.83228490094696	FALSE	1.87572743966421	3.07415790465051	0.438887792286425	0.870203309675844	0.141612008354458
K11_FIBROCHIRLIV	Fibrosis and cirrhosis of liver	XI Diseases of the digestive system (K11_)	2653	485213	487866	0.0054379686225316	-0.0510450749130346	0.228015319842033	0.822860898984029	FALSE	1.87713478822528	3.078277262662	0.438040696148256	0.869424709988781	0.140788856383103
I9_CEREBDOTH	Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere	IX Diseases of the circulatory system (I9_)	2644	453828	456472	0.00579225012706146	0.0502934813118591	0.230202193872885	0.827058842041076	FALSE	1.87935728201298	3.0847875204484	0.436708933563369	0.868193569140883	0.139500745416692
F5_ANOREX	Anorexia (incl.atypical)	V Mental and behavioural disorders (F5_)	2621	484901	487522	0.00537616763961421	0.0450503946493311	0.230206144901854	0.844848207505127	FALSE	1.88430590306973	3.09930503820119	0.433769704150925	0.865445674524712	0.136683802746699
Q17_CONGEN_MALFO_EYE_EAR_FACE_NECK	Congenital malformations of eye, ear, face and neck	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	2617	497731	500348	0.00523035966966991	0.219898624512091	0.511879882736664	0.667493705555608	FALSE	1.88513053083799	3.10172712099165	0.433283390289288	0.864986917328245	0.136221159656659
F5_DEPRESSION_PSYCHOTIC	Psychotic depression	V Mental and behavioural disorders (F5_)	2622	254393	257015	0.0102017391981013	0.0701071404064128	0.399842110879818	0.860814792695252	FALSE	1.88698615879854	3.10718048382066	0.432192659543023	0.863953736556446	0.135187063027381
ALCODELIRIUM	Alcohol withdrawal state with delirium 	V Mental and behavioural disorders (F5_)	2605	497743	500348	0.00520637636205201	0.19260733740845	0.232231434151952	0.406891289261314	FALSE	1.88786769727872	3.10977264613412	0.431676236659474	0.863462503492035	0.134699163173353
CHRONNAS	Crohn's disease NAS	Gastrointestinal endpoints	2602	476577	479179	0.00543012110296987	0.372899386653189	0.301672183240279	0.216418436898464	FALSE	1.88869425764903	3.11220400918129	0.431193036891192	0.863001672505924	0.134243645160864
L12_URTICA_DERTMATOG	Dermatographic urticaria	XII Diseases of the skin and subcutaneous tissue (L12_)	2596	482901	485497	0.00534709792233526	-0.0611592107586035	0.231102720604766	0.791286180169983	FALSE	1.89003164500072	3.11613976223323	0.430413288601057	0.862255568757836	0.133510592103455
L12_CORNSANDCALLOS	Corns and callosities	XII Diseases of the skin and subcutaneous tissue (L12_)	2582	465673	468255	0.00551408954522643	-0.130059603747497	0.232619987860371	0.576088286435578	FALSE	1.89339342711801	3.12604270157163	0.428464515641075	0.860377593296238	0.131689440786022
H7_PARASTRAB	Paralytic strabismus	VII Diseases of the eye and adnexa (H7_)	2581	476776	479357	0.00538429604657906	-0.347281271334792	0.257184050541743	0.176912731127278	FALSE	1.89354867936191	3.12650036835776	0.428374906268208	0.860290781490295	0.131606074481864
CD2_BENIGN_ADRENAL	Benign neoplasm: Adrenal gland	II Neoplasms from hospital discharges (CD2_)	2570	497778	500348	0.00513642504816648	0.259753621821685	0.231117691282927	0.261054627833631	FALSE	1.89598377388803	3.13368261930614	0.426973861061346	0.858928221439369	0.130306918721055
H7_BLINDANDVISIMPAIRMENT	Visual impairment including blindness (binocular or monocular)	VII Diseases of the eye and adnexa (H7_)	2569	475933	478502	0.00536883858374678	-0.220457888409235	0.232239913334183	0.342484389294958	FALSE	1.89636159061653	3.13479763003186	0.426757230858711	0.858716658444541	0.130106760223762
D3_THROMBOCYTOPENIANAS	Thrombocytopenia, unspecified	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2567	492275	494842	0.00518751439853529	-0.00720479226376379	0.230661412842494	0.97508184047714	FALSE	1.89672363923277	3.13586626971122	0.426549829835686	0.858513886619678	0.129915309096228
I9_VARICVESOTH	Varicose veins of other sites	IX Diseases of the circulatory system (I9_)	2560	432223	434783	0.00588799470080477	0.026118027942919	0.232494860322597	0.910555343528545	FALSE	1.89881189016214	3.14203317624078	0.425357151424455	0.857343603774148	0.128817766507395
DRUGADVERS_NEUTROPENIA	Drug-induced neutropenia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2547	497801	500348	0.00509045704189884	-0.0118891128495967	0.232431777605814	0.959205214192398	FALSE	1.90142765011548	3.14976541151446	0.423871771697892	0.855876019430197	0.127458995377547
K11_VASCINT	Vascular disorders of the intestines	XI Diseases of the digestive system (K11_)	2545	394725	397270	0.00640622246834646	0.105531156270446	0.553801428731679	0.848872091228575	FALSE	1.90271717577255	3.15358034985914	0.423142995745756	0.855151863904343	0.126795629215023
D3_OTHERBLOOD	Other diseases of blood and blood-forming organs	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2517	491224	493741	0.00509781444117462	-0.346581530657373	0.364359993193525	0.34149964750229	FALSE	1.90870620721454	3.17132494637327	0.419788230831427	0.851783261585945	0.123769846081836
VIRALPNEUMONAS	Viral pneumonia (unknown virus, not influenza)	Interstitial lung disease endpoints	2513	481551	484064	0.00519146228597871	0.157307476134477	0.233707540181236	0.500886584171746	FALSE	1.90974618247228	3.17441069869149	0.419210668146076	0.851197467465109	0.123253535188432
L12_CHRONICULCEROFSKIN	Chronic ulcer of skin, not elsewhere classified	XII Diseases of the skin and subcutaneous tissue (L12_)	2511	465673	468184	0.00536327597696632	-0.00725197683766566	0.235825322125237	0.975467738288671	FALSE	1.91034498535649	3.17618802964518	0.418878779631749	0.850860067997623	0.1229574562545
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458	487968	0.00514377991999475	-0.0513025571613328	0.234246541291022	0.826641519229439	FALSE	1.9104548421064	3.17651414739754	0.418817943734528	0.850798160057554	0.122903232761244
H7_GLAUCNAS	Other and unspecified glaucoma	VII Diseases of the eye and adnexa (H7_)	2505	473757	476262	0.00525970999155927	0.0883905345478443	0.235060923975699	0.706892773709569	FALSE	1.9117610562272	3.18039286772356	0.418095842085583	0.850061867769361	0.122260763580269
Z21_PROBL_RELATED_MEDICAL_FACILITI_OTH_HEALTH_CARE	Problems related to medical facilities and other health care	XXI Factors influencing health status and contact with health services (Z21_)	2504	400757	403261	0.00620937804548419	0.140861845575026	0.254009863182127	0.579200676237499	FALSE	1.91260050303574	3.18288665099918	0.417632990343974	0.849588496235456	0.121850065176464
K11_CD_STRICT2	Crohn disease (strict definition, require KELA, min 2 HDR)	XI Diseases of the digestive system (K11_)	2489	497622	500111	0.0049768951292813	0.402948884604922	0.281029148554536	0.151619907596263	FALSE	1.91556371543959	3.19169647651067	0.416006685078598	0.847916381024295	0.120413881115634
I9_LYMPHADE	Nonspecific lymphadenitis	IX Diseases of the circulatory system (I9_)	2476	432223	434699	0.00569589532067017	-0.295760810295975	0.236537452888918	0.211162140895826	FALSE	1.9192830750783	3.20276953581793	0.413981899670163	0.845815228446797	0.118640726510321
M13_POSTOPMUSCULOSKE	Postprocedural musculoskeletal disorders, not elsewhere classified	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2467	494616	497083	0.00496295387289447	-0.0504484963883675	0.26025183438223	0.846297311854531	FALSE	1.92110252147273	3.20819242895115	0.412998052644824	0.844786496071386	0.117785111557273
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	2469	370637	373106	0.00661742239470821	0.17063605111788	0.277270567011591	0.538281675748382	FALSE	1.92163812235683	3.20978956599939	0.41270925860163	0.844483557467807	0.117534697641207
K11_OTHINFLIV	Other inflammatory liver diseases	XI Diseases of the digestive system (K11_)	2463	485213	487676	0.00505048433796209	0.00577223197235062	0.236496289932612	0.980527738741353	FALSE	1.92217612748278	3.21139422442161	0.412419545696759	0.844179212347735	0.117283823949826
N14_INFLAMMBREAST	Inflammatory disorders of breast	XIV Diseases of the genitourinary system (N14_)	2468	258508	260976	0.0094568082888848	0.0444590688880247	0.237357864954899	0.851419012440057	FALSE	1.92369153003453	3.21591597262287	0.411605538127067	0.843321716298571	0.116580748310272
L12_PSORI_NAS	Other and unspecified psoriasis	XII Diseases of the skin and subcutaneous tissue (L12_)	2452	482181	484633	0.00505949863092278	-0.242436846893603	0.236841199155362	0.306011884859473	FALSE	1.92499817647812	3.21981706883387	0.410906061405604	0.842582064681788	0.115978720801789
L12_SKINSUBCUTISNAS	Other and unspecified disorders of skin and subcutaneous tissue	XII Diseases of the skin and subcutaneous tissue (L12_)	2434	465673	468107	0.00519966588835459	0.243543215737251	0.248069028510143	0.326220151837901	FALSE	1.92974627353695	3.23401040049686	0.408382847318506	0.839892291164798	0.113823329334508
