scenario	pph4_full	pph4_trunc	n_kept
shared	0.99181476673794	0.991814768006462	25
shared	0.991997720199243	0.991997720814368	23
shared	0.995884336262879	0.995889200275362	20
shared	0.983920116560259	0.983920122091954	18
shared	0.994107842756239	0.994107931255052	23
shared	0.994402744195809	0.994403882850974	11
shared	0.995014936800973	0.995016426473781	16
shared	0.992358116074816	0.992358545838128	13
shared	0.993465142219644	0.993465143217256	23
shared	0.995176935891558	0.995177025027365	18
shared	0.997501644224947	0.997501645552604	16
shared	0.993517166397737	0.993523900888176	22
shared	0.983961096044895	0.983963548992771	8
shared	0.990680566485226	0.990680900568835	11
shared	0.986491099407611	0.98656831425057	15
shared	0.989929965710039	0.989946902944597	8
shared	0.996913145108873	0.996913312597	9
shared	0.992815835799422	0.992815898986373	24
shared	0.992604029002772	0.992604029765738	23
shared	0.995103700010189	0.995103700285569	23
shared	0.925747758402182	0.925986960351323	23
shared	0.995643642955262	0.995643879238852	11
shared	0.993174863108815	0.993212424461633	9
shared	0.982470271897139	0.982507771945831	23
shared	0.993594382663875	0.993594488592554	13
shared	0.993657959211852	0.993658065583157	16
shared	0.995668045521205	0.995668045529737	18
shared	0.993498909109219	0.993498952478036	10
shared	0.999016295125085	0.999016295181795	17
shared	0.995969935975825	0.995984036585848	16
shared	0.99086920695343	0.990869447185062	15
shared	0.993605033159125	0.993605062285411	16
shared	0.987450469367956	0.987450625041892	24
shared	0.996279480326782	0.996279516254831	23
shared	0.995692774432045	0.995692775647288	20
shared	0.992517658445905	0.992517694842972	23
shared	0.996913647356511	0.996916325012896	22
shared	0.968698856953429	0.968728297976664	22
shared	0.995047750673887	0.995047751506161	18
shared	0.986606136926153	0.986628319759743	8
shared	0.992226032118384	0.992226037359474	22
shared	0.994179952520472	0.994179954923027	26
shared	0.995890279948324	0.995890734657486	16
shared	0.997079788980079	0.997079989699604	12
shared	0.991942940191124	0.991943059416089	19
shared	0.997988449050092	0.997988449767623	23
shared	0.995510561943127	0.995553149119661	72
shared	0.986470323010191	0.986656238883306	8
shared	0.992501131039944	0.992501228224878	17
shared	0.995656583848373	0.995656587424219	20
shared	0.997347367593647	0.997347368012627	25
shared	0.995818416859841	0.99581956424147	11
shared	0.992638030275111	0.992666641616445	8
shared	0.989908908041457	0.98991013639461	11
shared	0.99485515160098	0.99489676251063	14
shared	0.996111819859863	0.996111819912125	22
shared	0.995907901884931	0.995907901885427	23
shared	0.99558672763992	0.995586817985189	18
shared	0.997061429274099	0.997813246452309	8
shared	0.976959396182621	0.976959813747654	20
shared	0.996666513847085	0.996666514256926	16
shared	0.991476577197925	0.99148062632547	17
shared	0.994903706527188	0.994904164163225	8
shared	0.994732822068389	0.99473282281706	23
shared	0.991488339285902	0.991494318056702	10
shared	0.995111139344951	0.995113965778876	8
shared	0.994774536811041	0.994777261170702	13
shared	0.992245830046492	0.992246089091728	16
shared	0.99225966742212	0.992259687405049	14
shared	0.994302891324158	0.994304348755354	20
shared	0.997333149025062	0.997335234734333	10
shared	0.797448174486863	0.800147736189721	9
shared	0.982443286029495	0.982443554997639	19
shared	0.993761145409908	0.993761161948937	16
shared	0.838748378529424		2
shared	0.998058103134251	0.998058884921801	28
shared	0.992994746526994	0.992994798178355	17
